gene,tissue,median_tpm
RSBN1L,Testis,19.5073
RSBN1L,Brain_Cerebellar_Hemisphere,18.328
RSBN1L,Uterus,17.5636
RSBN1L,Ovary,16.6386
RSBN1L,Cervix_Endocervix,16.4649
RSBN1L,Thyroid,16.4087
RSBN1L,Cervix_Ectocervix,16.2151
RSBN1L,Cells_EBV-transformed_lymphocytes,16.0173
RSBN1L,Colon_Sigmoid,15.6074
RSBN1L,Fallopian_Tube,15.3873
RSBN1L,Brain_Cerebellum,15.2965
RSBN1L,Nerve_Tibial,14.8502
RSBN1L,Bladder,14.717
RSBN1L,Artery_Tibial,14.6785
RSBN1L,Esophagus_Gastroesophageal_Junction,13.5393
RSBN1L,Esophagus_Muscularis,13.1868
RSBN1L,Vagina,13.0007
RSBN1L,Spleen,12.9044
RSBN1L,Prostate,11.8405
RSBN1L,Lung,11.5504
RSBN1L,Artery_Coronary,11.331
RSBN1L,Small_Intestine_Terminal_Ileum,10.8456
RSBN1L,Artery_Aorta,10.6919
RSBN1L,Pituitary,10.5971
RSBN1L,Adipose_Subcutaneous,10.4808
RSBN1L,Breast_Mammary_Tissue,10.2498
RSBN1L,Colon_Transverse,10.0195
RSBN1L,Cells_Cultured_fibroblasts,9.669139999999999
RSBN1L,Minor_Salivary_Gland,9.50324
RSBN1L,Esophagus_Mucosa,8.91662
RSBN1L,Skin_Sun_Exposed_Lower_leg,8.90865
RSBN1L,Skin_Not_Sun_Exposed_Suprapubic,8.38829
RSBN1L,Stomach,7.74356
RSBN1L,Adipose_Visceral_Omentum,7.46788
RSBN1L,Adrenal_Gland,6.5298099999999994
RSBN1L,Brain_Frontal_Cortex_BA9,6.37363
RSBN1L,Brain_Spinal_cord_cervical_c-1,5.86735
RSBN1L,Whole_Blood,5.5386
RSBN1L,Kidney_Medulla,5.39581
RSBN1L,Brain_Hypothalamus,5.22676
RSBN1L,Brain_Nucleus_accumbens_basal_ganglia,5.0135
RSBN1L,Brain_Cortex,4.94623
RSBN1L,Brain_Anterior_cingulate_cortex_BA24,4.66291
RSBN1L,Brain_Caudate_basal_ganglia,4.65409
RSBN1L,Pancreas,4.5690599999999995
RSBN1L,Brain_Hippocampus,4.4288300000000005
RSBN1L,Liver,4.42541
RSBN1L,Muscle_Skeletal,4.32256
RSBN1L,Brain_Substantia_nigra,4.01823
RSBN1L,Brain_Amygdala,3.85831
RSBN1L,Brain_Putamen_basal_ganglia,3.67328
RSBN1L,Heart_Atrial_Appendage,3.6269400000000003
RSBN1L,Kidney_Cortex,3.28798
RSBN1L,Heart_Left_Ventricle,2.4117
MAP3K1,Skin_Not_Sun_Exposed_Suprapubic,37.2243
MAP3K1,Skin_Sun_Exposed_Lower_leg,36.7152
MAP3K1,Thyroid,29.7146
MAP3K1,Spleen,26.0795
MAP3K1,Vagina,21.2313
MAP3K1,Minor_Salivary_Gland,20.4002
MAP3K1,Breast_Mammary_Tissue,19.704
MAP3K1,Esophagus_Mucosa,17.8165
MAP3K1,Lung,15.2284
MAP3K1,Nerve_Tibial,14.0063
MAP3K1,Testis,12.74
MAP3K1,Small_Intestine_Terminal_Ileum,12.2273
MAP3K1,Fallopian_Tube,11.7815
MAP3K1,Ovary,11.5598
MAP3K1,Whole_Blood,11.5343
MAP3K1,Cervix_Ectocervix,11.0784
MAP3K1,Kidney_Medulla,10.4462
MAP3K1,Adipose_Subcutaneous,10.2218
MAP3K1,Uterus,9.93175
MAP3K1,Prostate,9.300289999999999
MAP3K1,Cells_EBV-transformed_lymphocytes,9.13069
MAP3K1,Adipose_Visceral_Omentum,8.87221
MAP3K1,Cervix_Endocervix,8.57217
MAP3K1,Artery_Coronary,7.21207
MAP3K1,Brain_Cerebellar_Hemisphere,6.3544599999999996
MAP3K1,Bladder,6.065580000000001
MAP3K1,Pancreas,6.0269900000000005
MAP3K1,Brain_Cerebellum,5.88427
MAP3K1,Pituitary,5.70679
MAP3K1,Stomach,5.616969999999999
MAP3K1,Adrenal_Gland,5.35887
MAP3K1,Kidney_Cortex,5.3272900000000005
MAP3K1,Artery_Aorta,5.27243
MAP3K1,Colon_Transverse,5.23595
MAP3K1,Esophagus_Gastroesophageal_Junction,5.17638
MAP3K1,Esophagus_Muscularis,4.91314
MAP3K1,Colon_Sigmoid,4.90265
MAP3K1,Artery_Tibial,4.3069
MAP3K1,Cells_Cultured_fibroblasts,3.9736
MAP3K1,Brain_Spinal_cord_cervical_c-1,3.58293
MAP3K1,Liver,2.86706
MAP3K1,Brain_Substantia_nigra,2.8296099999999997
MAP3K1,Brain_Hypothalamus,2.73477
MAP3K1,Heart_Atrial_Appendage,2.62862
MAP3K1,Brain_Amygdala,2.5365900000000003
MAP3K1,Brain_Nucleus_accumbens_basal_ganglia,2.4744900000000003
MAP3K1,Brain_Caudate_basal_ganglia,2.43203
MAP3K1,Brain_Hippocampus,2.34384
MAP3K1,Brain_Anterior_cingulate_cortex_BA24,2.12914
MAP3K1,Brain_Cortex,2.10546
MAP3K1,Brain_Frontal_Cortex_BA9,2.06026
MAP3K1,Brain_Putamen_basal_ganglia,1.97853
MAP3K1,Heart_Left_Ventricle,1.9466900000000003
MAP3K1,Muscle_Skeletal,1.63027
