gene,axis,direction,uniprot,protein_class,cell_surface,sensible_modality,n_chembl_ligands,best_ligand_potency,has_PDB,pdb_or_af,tractability_call,note
CBLB,activation(exploratory),see per-gene,Q13191,enzyme (RING E3 ubiquitin ligase) + TKB/SH2,False,small molecule (allosteric) or degrader,566,pChEMBL 9.52,True,10YS;10ZJ;26LM,tractable,"CBL-B, TCR-signalling brake E3 ligase. Intense recent IO discovery: 566 potent ligands, best pChEMBL 9.52; clinical CBL-B inhibitors. 27 PDB (24 X-ray). KNOWN TCR brake."
CD6,activation(exploratory),see per-gene,P30203,"receptor (SRCR domain, cell-surface coreceptor)",True,biologic / antibody,0,no ligandable evidence,True,5A2E,tractable,T-cell surface scavenger receptor (ALCAM ligand). Itolizumab (anti-CD6 mAb) APPROVED (psoriasis). KNOWN immune biology. SRCR ectodomain; 1 PDB (5A2E).
IFNAR1,polarization,Th2-skewing (KD raises axis),P17181,"receptor (type I IFN receptor, cell-surface)",True,biologic / antagonist antibody,0,no ligandable evidence,True,3S98;3SE3;3SE4,tractable,Type-I interferon receptor chain. Anifrolumab (anti-IFNAR1 mAb) APPROVED for SLE. KNOWN biology. FN3/Ig ectodomain; 5 X-ray PDB.
TNFRSF9,polarization,Th1-skewing (KD lowers axis),Q07011,"receptor (TNFR superfamily, cell-surface)",True,biologic / agonist antibody,3,pChEMBL 8.46,True,6A3V;6A3W;6BWV,tractable,"4-1BB/CD137. Agonist antibodies in oncology (urelumab, utomilumab). KNOWN biology. Cys-rich TNFR ectodomain; 14 PDB X-ray."
CLCC1,activation(exploratory),see per-gene,Q96S66,"channel (chloride channel-like, multi-pass)",False,small molecule (channel modulator) - hard,no ChEMBL target,no ligandable evidence,False,AF-Q96S66-F1(pLDDT 60.41),challenging,"CLIC-like chloride channel, ER membrane. Channel class is druggable but this one poorly characterized; no ligand, no PDB (AF only, pLDDT 60)."
BAHD1,polarization,Th1-skewing (KD lowers axis),Q8TBE0,chromatin reader / scaffold,False,degrader (BAH reader) - speculative,no ChEMBL target,no ligandable evidence,False,AF-Q8TBE0-F1(pLDDT 50.38),challenging,"BAH-domain chromatin reader, heterochromatin silencing. Reader pockets hard but precedented. No ligand, no PDB, partly disordered (pLDDT 50)."
INTS6,polarization,Th1-skewing (KD lowers axis),Q9UL03,"scaffold (Integrator complex subunit, VWA domain)",False,no obvious modality,0,no ligandable evidence,True,7BV7;7CUN;7PKS,challenging,"Integrator/PP2A phosphatase-module scaffold, VWA domain. PPI target. No potent ligand; PDBs are complex cryo-EM."
JADE2,polarization,Th1-skewing (KD lowers axis),Q9NQC1,enzyme (E3-like) + PHD chromatin reader,False,small molecule (PHD/HAT) or degrader,no ChEMBL target,no ligandable evidence,False,AF-Q9NQC1-F1(pLDDT 61.81),challenging,"PHD finger + HAT-associated (HBO1 complex); also ubiquitin ligase activity. No ligand, no PDB (AF only, pLDDT 62)."
RAC2,polarization,Th1-skewing (KD lowers axis),P15153,enzyme (small Rho GTPase),False,small molecule (nucleotide/allosteric) - hard,2,pChEMBL 7.22,True,1DS6;2W2T;2W2V,challenging,"Rho-family GTPase, hematopoietic-restricted. Classically hard; nucleotide + PPI inhibitors exist (2 potent ligands, best pChEMBL 7.2). 4 X-ray PDB."
TATDN2,polarization,Th2-skewing (KD raises axis),Q93075,enzyme (TatD-family metal-dependent DNase),False,small molecule (metal-dependent active site),no ChEMBL target,no ligandable evidence,False,AF-Q93075-F1(pLDDT 59.03),challenging,"3'-5' exonuclease, metal-dependent hydrolase active site - catalytic pocket exists but no chemical matter, no PDB (AF only, pLDDT 59)."
TRIT1,polarization,Th2-skewing (KD raises axis),Q9H3H1,enzyme (tRNA isopentenyltransferase),False,small molecule (substrate pocket),no ChEMBL target,no ligandable evidence,False,AF-Q9H3H1-F1(pLDDT 84.56),challenging,"tRNA-modifying transferase with ATP/DMAPP substrate pocket - druggable class in principle, but no chemical matter and no PDB (AF only, pLDDT 85)."
PAXIP1,polarization,Th2-skewing (KD raises axis),Q6ZW49,"scaffold (BRCT adaptor, MLL3/4 complex)",False,no obvious modality / degrader,no ChEMBL target,no ligandable evidence,True,3SQD,intractable,"PTIP: BRCT-domain scaffold in HMT & DNA-damage complexes. PPI-only, largely disordered (1069 aa). No ligand; 1 BRCT PDB (3SQD)."
SNRPB2,polarization,Th2-skewing (KD raises axis),P08579,"RNA-binding protein (U2 snRNP, RRM domains)",False,no obvious modality; splicing-modulator (indirect),1,pChEMBL 7.02,True,1A9N;5MQF;5O9Z,intractable,"Core spliceosome U2 B'' protein, tandem RRMs. RNA-binding surfaces poorly ligandable. 1 spurious potent hit; PDBs are spliceosome complexes."
TWF1,polarization,Th2-skewing (KD raises axis),Q12792,"actin-binding protein (twinfilin, ADF-H)",False,no obvious modality,no ChEMBL target,no ligandable evidence,True,7CCC,intractable,"Actin monomer sequestration, cytoskeletal. ADF-H fold, actin interface. No ligand, single PDB (7CCC)."
URM1,polarization,Th1-skewing (KD lowers axis),Q9BTM9,ubiquitin-like protein modifier / sulfur carrier,False,no obvious small-molecule pocket,no ChEMBL target,no ligandable evidence,False,AF-Q9BTM9-F1(pLDDT 94.06),intractable,"Beta-grasp UBL fold; protein tag/sulfur carrier. No catalytic pocket of its own; enzymology sits on partners (MOCS3). No ligand, no PDB."
